review_id,product_id,review_text,rating
R0001,P001,"This Aurora works fine, but I wish the display was a bit better. It could have been cheaper, but overall it's okay.",5
R0002,P001,"This Aurora has become one of my favorite purchases this year. I use it daily and it never disappoints. It could have been cheaper, but overall it's okay.",5
R0003,P001,The Aurora exceeded all my expectations. The charging speed is amazing and battery lasts really long. I appreciate the modern design and easy setup.,5
R0004,P001,"Highly recommend this Aurora to anyone looking for something reliable and stylish. Totally worth the money. After using it for two weeks, I can say it holds up well.",5
R0005,P001,"Highly recommend this Aurora to anyone looking for something reliable and stylish. Totally worth the money. After using it for two weeks, I can say it holds up well.",5
R0006,P001,Highly recommend this Aurora to anyone looking for something reliable and stylish. Totally worth the money. Delivery was fast and packaging was neat.,5
R0007,P001,"I was really disappointed with this Aurora. The fit stopped working after a few days. It could have been cheaper, but overall it's okay.",3
R0008,P001,The Aurora exceeded all my expectations. The design is amazing and battery lasts really long. I appreciate the modern design and easy setup.,5
R0009,P001,Highly recommend this Aurora to anyone looking for something reliable and stylish. Totally worth the money. I appreciate the modern design and easy setup.,5
R0010,P001,Would not recommend this Aurora. It broke sooner than expected and caused a lot of frustration. I appreciate the modern design and easy setup.,2
R0011,P001,The Aurora exceeded all my expectations. The display is amazing and battery lasts really long. I appreciate the modern design and easy setup.,5
R0012,P001,"This Aurora has become one of my favorite purchases this year. I use it daily and it never disappoints. It could have been cheaper, but overall it's okay.",5
R0013,P001,The Aurora exceeded all my expectations. The design is amazing and battery lasts really long. I appreciate the modern design and easy setup.,5
R0014,P001,Neither great nor terrible. The Aurora performs as advertised. I appreciate the modern design and easy setup.,3
R0015,P001,The Aurora exceeded all my expectations. The durability is amazing and battery lasts really long. Delivery was fast and packaging was neat.,5
R0016,P001,Fantastic quality for the price. The Aurora feels premium and design works flawlessly. Delivery was fast and packaging was neat.,5
R0017,P001,"An average experience overall. The comfort could use some improvement, but it's acceptable. It could have been cheaper, but overall it's okay.",5
R0018,P001,"It's a decent Aurora for the price. Nothing extraordinary, but it gets the job done. After using it for two weeks, I can say it holds up well.",4
R0019,P001,"The Aurora is okay, nothing too special. It does what it's supposed to do. Delivery was fast and packaging was neat.",4
R0020,P001,"The Aurora exceeded all my expectations. The brightness is amazing and battery lasts really long. It could have been cheaper, but overall it's okay.",5
R0021,P001,This Aurora has become one of my favorite purchases this year. I use it daily and it never disappoints. Customer support experience was fine overall.,4
R0022,P001,"The Aurora is okay, nothing too special. It does what it's supposed to do. It could have been cheaper, but overall it's okay.",4
R0023,P001,Neither great nor terrible. The Aurora performs as advertised. Customer support experience was fine overall.,2
R0024,P001,Fantastic quality for the price. The Aurora feels premium and brightness works flawlessly. I appreciate the modern design and easy setup.,5
R0025,P001,Highly recommend this Aurora to anyone looking for something reliable and stylish. Totally worth the money. I appreciate the modern design and easy setup.,5
R0026,P001,This Aurora has become one of my favorite purchases this year. I use it daily and it never disappoints. Customer support experience was fine overall.,4
R0027,P001,The Aurora exceeded all my expectations. The design is amazing and battery lasts really long. Delivery was fast and packaging was neat.,5
R0028,P001,"Fantastic quality for the price. The Aurora feels premium and brightness works flawlessly. After using it for two weeks, I can say it holds up well.",5
R0029,P001,"I absolutely love this Aurora! The fit is outstanding and it performs even better than expected. After using it for two weeks, I can say it holds up well.",5
R0030,P001,I absolutely love this Aurora! The material quality is outstanding and it performs even better than expected. I appreciate the modern design and easy setup.,5
R0031,P001,This Aurora has become one of my favorite purchases this year. I use it daily and it never disappoints. Customer support experience was fine overall.,4
R0032,P001,Terrible experience. The material quality is unreliable and customer support wasn't helpful. I appreciate the modern design and easy setup.,2
R0033,P001,Highly recommend this Aurora to anyone looking for something reliable and stylish. Totally worth the money. I appreciate the modern design and easy setup.,5
R0034,P001,This Aurora has become one of my favorite purchases this year. I use it daily and it never disappoints. I appreciate the modern design and easy setup.,5
R0035,P001,The Aurora exceeded all my expectations. The comfort is amazing and battery lasts really long. Customer support experience was fine overall.,5
R0036,P001,This Aurora has become one of my favorite purchases this year. I use it daily and it never disappoints. Customer support experience was fine overall.,4
R0037,P002,"The Nimbus is okay, nothing too special. It does what it's supposed to do. Customer support experience was fine overall.",4
R0038,P002,"Terrible experience. The charging speed is unreliable and customer support wasn't helpful. It could have been cheaper, but overall it's okay.",3
R0039,P002,Extremely poor performance. The Nimbus overheats and doesn't last long. I appreciate the modern design and easy setup.,4
R0040,P002,I absolutely love this Nimbus! The brightness is outstanding and it performs even better than expected. Customer support experience was fine overall.,5
R0041,P002,"The Nimbus is okay, nothing too special. It does what it's supposed to do. I appreciate the modern design and easy setup.",5
R0042,P002,"This Nimbus works fine, but I wish the brightness was a bit better. Delivery was fast and packaging was neat.",5
R0043,P002,Extremely poor performance. The Nimbus overheats and doesn't last long. Customer support experience was fine overall.,3
R0044,P002,"This Nimbus has become one of my favorite purchases this year. I use it daily and it never disappoints. It could have been cheaper, but overall it's okay.",5
R0045,P002,"An average experience overall. The sound quality could use some improvement, but it's acceptable. It could have been cheaper, but overall it's okay.",5
R0046,P002,I was really disappointed with this Nimbus. The design stopped working after a few days. Delivery was fast and packaging was neat.,2
R0047,P002,"Highly recommend this Nimbus to anyone looking for something reliable and stylish. Totally worth the money. After using it for two weeks, I can say it holds up well.",5
R0048,P002,"I absolutely love this Nimbus! The material quality is outstanding and it performs even better than expected. It could have been cheaper, but overall it's okay.",5
R0049,P002,"This Nimbus works fine, but I wish the battery life was a bit better. After using it for two weeks, I can say it holds up well.",5
R0050,P002,Poor build quality. The Nimbus feels cheap and doesn't justify its price at all. Delivery was fast and packaging was neat.,3
R0051,P002,I absolutely love this Nimbus! The material quality is outstanding and it performs even better than expected. I appreciate the modern design and easy setup.,5
R0052,P002,Extremely poor performance. The Nimbus overheats and doesn't last long. Customer support experience was fine overall.,3
R0053,P002,I was really disappointed with this Nimbus. The brightness stopped working after a few days. Customer support experience was fine overall.,4
